School name,Country,Intl GPA,US GPA,Tier
"National Institute of Technology Karnataka, Surathkal",India,10/6.5/5.5,4.0/3.0/2.0,Tier III College
National Institute of Technology Raipur,India,10/9/8/7/6/5,4.0/3.6/3.3/3.0/2.7/2.0,Tier III College
National Institute of Technology Rourkela,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
National Institute of Technology Silchar,India,10/9/8/7/6,4.0/3.7/3.0/2.7/2.0,Tier III College
National Institute of Technology Warangal,India,10/8/6.5/5,4.0/3.6/3.0/2.0,Tier III College
Navrachana University,India,10/9/8/7/6/5/4,4.0/3.6/3.0/2.5/2.0/1.5/1.0,Tier III College
Netaji Subhas Institute of Technology,India,100/75/60/50,4.0/3.6/3.0/2.0,Tier III College
Nirma Institute of Technology,India,10/9/8/7/6,4.0/3.7/3.3/3.0/2.5,Tier III College
Osmania University,India,100/75/60/45/40,4.0/3.6/3.0/2.0/1.0,Tier III College
Padmabhushan Vasantdada Patil Pratishthan's College of Engineering,India,100/70/60/50,4.0/3.6/3.0/2.0,Tier III College
Pandit Deendayal Petroleum University,India,10/9/8/7/6/5,4.0/3.9/3.6/3.3/3.0/2.0,Tier III College
Panjab University,India,10/9/8/7/6/5,4.0/3.6/3.3/3.0/2.3/2.0,Tier III College
PES Institute of Technology,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
PES University,India,10/9.5/7.75/6.75/5.75,4.0/3.9/3.6/3.0/2.0,Tier III College
PSG College of Technology,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
Pune Institute of Computer Technology,India,100/66/60/55/50,4.0/3.6/3.3/3.0/2.0,Tier III College
Rajiv Gandhi Institute of Technology,India,10/9/8/7/6,4.0/3.6/3.0/2.0/1.0,Tier III College
Rajiv Gandhi Proudyogiki Vishwavidyalaya,India,10/7.5/6.5/5.0,4.0/3.6/3.0/2.0,Tier III College
Rajiv Gandhi Proudyogiki Vishwavidyalaya - 100-point scale,India,100/75/65/45,4.0/3.6/3.0/2.0,Tier III College
Ramaiah Institute of Technology,India,10/9/8/7/5,4.0/3.6/3.0/2.0/1.0,Tier III College
Ramnarian Ruia College,India,7/6/5/4,4.0/3.6/3.0/2.0,Tier III College
Rizvi College of Engineering,India,100/70/60/50,4.0/3.6/3.0/2.0,Tier III College
RKN Engg College,India,100/75/60/50,4.0/3.6/3.0/2.0,Tier II College
"RV College of Engineering, Bengaluru",India,10/9/8/7,4.0/3.7/3.0/2.0,Tier III College
Sardar Patel College of Engineering,India,10/9/8/7,4.0/3.6/3.0/2.0,Tier III College
